,State,Confirmed,Deaths,Recovered,Mortality Rate,Latitude,Longitude,USA_State_Code
0,Alabama,5593.0,196.0,0.0,3.5,32.318231,-86.902298,AL
1,Alaska,335.0,9.0,0.0,2.69,63.588753000000004,-154.493062,AK
2,Arizona,5473.0,231.0,0.0,4.22,34.048928000000004,-111.093731,AZ
3,Arkansas,2276.0,42.0,0.0,1.85,35.20105,-91.83183299999999,AR
4,California,37344.0,1421.0,0.0,3.81,36.778261,-119.41793200000001,CA
5,Colorado,10891.0,506.0,0.0,4.65,39.550051,-105.782067,CO
6,Connecticut,22469.0,1544.0,0.0,6.87,41.603221000000005,-73.087749,CT
7,Delaware,3200.0,89.0,0.0,2.78,38.910832,-75.52767,DE
8,District of Columbia,3206.0,127.0,0.0,3.96,38.905985,-77.03341800000001,DC
9,Florida,28309.0,893.0,0.0,3.15,27.664827000000002,-81.515754,FL
10,Georgia,21214.0,848.0,0.0,4.0,32.157435,-82.907123,GA
11,Hawaii,592.0,12.0,0.0,2.03,19.898682,-155.66585700000002,HI
12,Idaho,1766.0,51.0,0.0,2.89,44.068202,-114.74204099999999,ID
13,Illinois,35107.0,1565.0,0.0,4.46,40.633125,-89.398528,IL
14,Indiana,12438.0,666.0,0.0,5.35,40.551217,-85.602364,IN
15,Iowa,3748.0,90.0,0.0,2.4,41.878003,-93.097702,IA
16,Kansas,2331.0,112.0,0.0,4.8,39.011902,-98.484246,KS
17,Kentucky,3378.0,185.0,0.0,5.48,37.839333,-84.27001800000001,KY
18,Louisiana,25258.0,1473.0,0.0,5.83,31.244822999999997,-92.14502399999999,LA
19,Maine,907.0,39.0,0.0,4.3,45.253783,-69.44546899999999,ME
20,Maryland,14775.0,698.0,0.0,4.72,39.045755,-76.641271,MD
21,Massachusetts,42944.0,2182.0,0.0,5.08,42.407211,-71.382437,MA
22,Michigan,33966.0,2813.0,0.0,8.28,44.314844,-85.602364,MI
23,Minnesota,2722.0,179.0,0.0,6.58,46.729553,-94.6859,MN
24,Mississippi,4894.0,193.0,0.0,3.94,32.354668,-89.398528,MS
25,Missouri,6277.0,238.0,0.0,3.79,37.964253,-91.83183299999999,MO
26,Montana,439.0,14.0,0.0,3.19,46.879682,-110.36256599999999,MT
27,Nebraska,1813.0,38.0,0.0,2.1,41.492537,-99.901813,NE
28,Nevada,4081.0,172.0,0.0,4.21,38.802609999999994,-116.419389,NV
29,New Hampshire,1588.0,48.0,0.0,3.02,43.193852,-71.572395,NH
30,New Jersey,95914.0,5150.0,0.0,5.37,40.058324,-74.405661,NJ
31,New Mexico,2210.0,71.0,0.0,3.21,34.97273,-105.03236299999999,NM
32,New York,263292.0,19413.0,0.0,7.37,43.299428000000006,-74.217933,NY
33,North Carolina,7495.0,265.0,0.0,3.54,35.759572999999996,-79.0193,NC
34,North Dakota,679.0,14.0,0.0,2.06,47.551493,-101.002012,ND
35,Ohio,14117.0,610.0,0.0,4.32,40.417287,-82.907123,OH
36,Oklahoma,2894.0,170.0,0.0,5.87,35.007752,-97.092877,OK
37,Oregon,2059.0,78.0,0.0,3.79,43.804133,-120.554201,OR
38,Pennsylvania,36082.0,1673.0,0.0,4.64,41.203322,-77.194525,PA
39,Puerto Rico,1252.0,63.0,0.0,5.03,18.220833,-66.590149,PR
40,Rhode Island,5841.0,181.0,0.0,3.1,41.580095,-71.477429,RI
41,South Carolina,4761.0,140.0,0.0,2.94,33.836081,-81.163725,SC
42,South Dakota,1858.0,9.0,0.0,0.48,43.969515,-99.901813,SD
43,Tennessee,7394.0,157.0,0.0,2.12,35.517491,-86.58044699999999,TN
44,Texas,21321.0,556.0,0.0,2.61,31.968598999999998,-99.901813,TX
45,Utah,3445.0,32.0,0.0,0.93,39.32098,-111.093731,UT
46,Vermont,823.0,40.0,0.0,4.86,44.558803000000005,-72.577841,VT
47,Virginia,10266.0,349.0,0.0,3.4,37.431573,-78.656894,VA
48,Washington,12051.0,647.0,0.0,5.37,47.751073999999996,-120.74013899999999,WA
49,West Virginia,939.0,27.0,0.0,2.88,38.597626,-80.454903,WV
50,Wisconsin,4845.0,248.0,0.0,5.12,43.784440000000004,-88.787868,WI
51,Wyoming,447.0,6.0,0.0,1.34,43.075967999999996,-107.29028400000001,WY
